[10:06:10 PM] [LOG] [Network] WebSocket server is listening on port 443
[10:06:10 PM] [ERROR] [Content] Doesn't exist path: C:\Users\unkno\Documents\GitHub\Famishs-remake\content
[10:06:10 PM] [ERROR] [CommandSystem] Invalid command from path: C:\Users\unkno\Documents\GitHub\Famishs-remake\game-server\compiled\command\commands\building\clean-building.js
[10:07:36 PM] [WARN] [TICKER] TPS: 6.172839506172839 | DELTA: 0.162
[10:07:37 PM] [WARN] [TICKER] TPS: 3.8167938931297707 | DELTA: 0.262
[10:07:37 PM] [WARN] [TICKER] TPS: 7.633587786259541 | DELTA: 0.131
[10:07:37 PM] [WARN] [TICKER] TPS: 7.8125 | DELTA: 0.128
[10:07:37 PM] [WARN] [TICKER] TPS: 12.345679012345679 | DELTA: 0.081
[10:07:37 PM] [WARN] [TICKER] TPS: 14.084507042253522 | DELTA: 0.071
[10:07:37 PM] [WARN] [TICKER] TPS: 10.638297872340425 | DELTA: 0.094
[10:07:37 PM] [WARN] [TICKER] TPS: 12.987012987012987 | DELTA: 0.077
[10:07:38 PM] [WARN] [TICKER] TPS: 11.363636363636365 | DELTA: 0.088
[10:07:38 PM] [WARN] [TICKER] TPS: 12.658227848101266 | DELTA: 0.079
[10:07:38 PM] [WARN] [TICKER] TPS: 12.658227848101266 | DELTA: 0.079
[10:07:38 PM] [WARN] [TICKER] TPS: 18.867924528301888 | DELTA: 0.053
[10:07:38 PM] [WARN] [TICKER] TPS: 10.1010101010101 | DELTA: 0.099
[10:07:38 PM] [WARN] [TICKER] TPS: 17.543859649122805 | DELTA: 0.057
[10:07:39 PM] [WARN] [TICKER] TPS: 11.627906976744187 | DELTA: 0.086
[10:07:39 PM] [WARN] [TICKER] TPS: 5.88235294117647 | DELTA: 0.17
[10:07:39 PM] [WARN] [TICKER] TPS: 12.048192771084336 | DELTA: 0.083
[10:07:39 PM] [WARN] [TICKER] TPS: 13.88888888888889 | DELTA: 0.072
[10:07:40 PM] [WARN] [TICKER] TPS: 16.666666666666668 | DELTA: 0.06
[10:07:41 PM] [WARN] [TICKER] TPS: 18.867924528301888 | DELTA: 0.053
[10:07:41 PM] [WARN] [TICKER] TPS: 19.23076923076923 | DELTA: 0.052
[10:07:42 PM] [WARN] [TICKER] TPS: 14.925373134328357 | DELTA: 0.067
[10:07:42 PM] [WARN] [TICKER] TPS: 12.820512820512821 | DELTA: 0.078
[10:07:42 PM] [WARN] [TICKER] TPS: 16.666666666666668 | DELTA: 0.06
[10:07:42 PM] [WARN] [TICKER] TPS: 14.492753623188404 | DELTA: 0.069
[10:07:43 PM] [WARN] [TICKER] TPS: 16.129032258064516 | DELTA: 0.062
[10:07:43 PM] [WARN] [TICKER] TPS: 9.174311926605505 | DELTA: 0.109
[10:07:43 PM] [WARN] [TICKER] TPS: 8.849557522123893 | DELTA: 0.113
[10:07:43 PM] [WARN] [TICKER] TPS: 11.363636363636365 | DELTA: 0.088
[10:07:43 PM] [WARN] [TICKER] TPS: 12.048192771084336 | DELTA: 0.083
[10:07:43 PM] [WARN] [TICKER] TPS: 14.925373134328357 | DELTA: 0.067
[10:07:44 PM] [WARN] [TICKER] TPS: 8.695652173913043 | DELTA: 0.115
[10:07:44 PM] [WARN] [TICKER] TPS: 8.771929824561402 | DELTA: 0.114
[10:07:44 PM] [WARN] [TICKER] TPS: 12.195121951219512 | DELTA: 0.082
[10:07:44 PM] [WARN] [TICKER] TPS: 14.925373134328357 | DELTA: 0.067
[10:07:44 PM] [WARN] [TICKER] TPS: 14.705882352941176 | DELTA: 0.068
[10:07:44 PM] [WARN] [TICKER] TPS: 13.513513513513514 | DELTA: 0.074
[10:07:44 PM] [WARN] [TICKER] TPS: 6.944444444444445 | DELTA: 0.144
[10:07:44 PM] [WARN] [TICKER] TPS: 13.513513513513514 | DELTA: 0.074
[10:07:45 PM] [WARN] [TICKER] TPS: 11.235955056179776 | DELTA: 0.089
[10:07:45 PM] [WARN] [TICKER] TPS: 11.904761904761903 | DELTA: 0.084
[10:07:45 PM] [WARN] [TICKER] TPS: 8.620689655172413 | DELTA: 0.116
[10:07:45 PM] [WARN] [TICKER] TPS: 9.25925925925926 | DELTA: 0.108
[10:07:45 PM] [WARN] [TICKER] TPS: 6.8965517241379315 | DELTA: 0.145
[10:07:46 PM] [WARN] [TICKER] TPS: 11.363636363636365 | DELTA: 0.088
[10:07:46 PM] [WARN] [TICKER] TPS: 8.19672131147541 | DELTA: 0.122
[10:07:46 PM] [WARN] [TICKER] TPS: 3.0303030303030303 | DELTA: 0.33
[10:07:46 PM] [WARN] [TICKER] TPS: 8.403361344537815 | DELTA: 0.119
[10:07:46 PM] [WARN] [TICKER] TPS: 9.25925925925926 | DELTA: 0.108
[10:07:47 PM] [WARN] [TICKER] TPS: 14.705882352941176 | DELTA: 0.068
[10:07:47 PM] [WARN] [TICKER] TPS: 16.949152542372882 | DELTA: 0.059
[10:07:47 PM] [WARN] [TICKER] TPS: 17.543859649122805 | DELTA: 0.057
[10:07:47 PM] [WARN] [TICKER] TPS: 14.925373134328357 | DELTA: 0.067
[10:07:47 PM] [WARN] [TICKER] TPS: 8.547008547008547 | DELTA: 0.117
[10:07:48 PM] [WARN] [TICKER] TPS: 13.88888888888889 | DELTA: 0.072
[10:07:48 PM] [WARN] [TICKER] TPS: 14.925373134328357 | DELTA: 0.067
[10:07:48 PM] [WARN] [TICKER] TPS: 10.309278350515463 | DELTA: 0.097
[10:07:48 PM] [WARN] [TICKER] TPS: 11.235955056179776 | DELTA: 0.089
[10:07:48 PM] [WARN] [TICKER] TPS: 15.15151515151515 | DELTA: 0.066
[10:07:48 PM] [WARN] [TICKER] TPS: 14.492753623188404 | DELTA: 0.069
[10:07:48 PM] [WARN] [TICKER] TPS: 11.627906976744187 | DELTA: 0.086
[10:07:48 PM] [WARN] [TICKER] TPS: 18.51851851851852 | DELTA: 0.054
[10:07:48 PM] [WARN] [TICKER] TPS: 17.543859649122805 | DELTA: 0.057
[10:07:49 PM] [WARN] [TICKER] TPS: 5.181347150259067 | DELTA: 0.193
[10:07:49 PM] [WARN] [TICKER] TPS: 15.384615384615383 | DELTA: 0.065
[10:07:50 PM] [WARN] [TICKER] TPS: 6.289308176100628 | DELTA: 0.159
[10:07:50 PM] [WARN] [TICKER] TPS: 15.384615384615383 | DELTA: 0.065
[10:07:50 PM] [WARN] [TICKER] TPS: 19.607843137254903 | DELTA: 0.051
[10:07:50 PM] [WARN] [TICKER] TPS: 7.042253521126761 | DELTA: 0.142
[10:07:51 PM] [WARN] [TICKER] TPS: 14.925373134328357 | DELTA: 0.067
[10:07:51 PM] [WARN] [TICKER] TPS: 17.241379310344826 | DELTA: 0.058
[10:07:51 PM] [WARN] [TICKER] TPS: 12.345679012345679 | DELTA: 0.081
[10:07:51 PM] [WARN] [TICKER] TPS: 19.607843137254903 | DELTA: 0.051
[10:07:52 PM] [WARN] [TICKER] TPS: 13.513513513513514 | DELTA: 0.074
[10:07:52 PM] [WARN] [TICKER] TPS: 16.129032258064516 | DELTA: 0.062
[10:07:52 PM] [WARN] [TICKER] TPS: 16.39344262295082 | DELTA: 0.061
[10:07:52 PM] [WARN] [TICKER] TPS: 5.780346820809249 | DELTA: 0.173
[10:07:53 PM] [WARN] [TICKER] TPS: 15.873015873015873 | DELTA: 0.063
[10:07:53 PM] [WARN] [TICKER] TPS: 13.513513513513514 | DELTA: 0.074
[10:07:53 PM] [WARN] [TICKER] TPS: 19.607843137254903 | DELTA: 0.051
[10:07:53 PM] [WARN] [TICKER] TPS: 11.11111111111111 | DELTA: 0.09
[10:07:54 PM] [WARN] [TICKER] TPS: 17.241379310344826 | DELTA: 0.058
[10:07:54 PM] [WARN] [TICKER] TPS: 17.543859649122805 | DELTA: 0.057
[10:07:54 PM] [WARN] [TICKER] TPS: 11.76470588235294 | DELTA: 0.085
[10:07:54 PM] [WARN] [TICKER] TPS: 19.23076923076923 | DELTA: 0.052
[10:07:54 PM] [WARN] [TICKER] TPS: 19.607843137254903 | DELTA: 0.051
[10:07:55 PM] [WARN] [TICKER] TPS: 16.39344262295082 | DELTA: 0.061
[10:07:56 PM] [WARN] [TICKER] TPS: 19.607843137254903 | DELTA: 0.051
[10:07:56 PM] [WARN] [TICKER] TPS: 14.705882352941176 | DELTA: 0.068
[10:07:56 PM] [WARN] [TICKER] TPS: 10.526315789473685 | DELTA: 0.095
[10:07:56 PM] [WARN] [TICKER] TPS: 3.861003861003861 | DELTA: 0.259
[10:07:57 PM] [WARN] [TICKER] TPS: 5.780346820809249 | DELTA: 0.173
[10:07:57 PM] [WARN] [TICKER] TPS: 9.090909090909092 | DELTA: 0.11
[10:07:57 PM] [WARN] [TICKER] TPS: 6.329113924050633 | DELTA: 0.158
[10:07:57 PM] [WARN] [TICKER] TPS: 5.952380952380952 | DELTA: 0.168
[10:07:57 PM] [WARN] [TICKER] TPS: 5.128205128205128 | DELTA: 0.195
[10:07:58 PM] [WARN] [TICKER] TPS: 14.925373134328357 | DELTA: 0.067
[10:07:58 PM] [WARN] [TICKER] TPS: 12.195121951219512 | DELTA: 0.082
[10:07:58 PM] [WARN] [TICKER] TPS: 9.090909090909092 | DELTA: 0.11
[10:07:58 PM] [WARN] [TICKER] TPS: 16.666666666666668 | DELTA: 0.06
[10:08:00 PM] [WARN] [TICKER] TPS: 19.23076923076923 | DELTA: 0.052
[10:08:00 PM] [WARN] [TICKER] TPS: 16.666666666666668 | DELTA: 0.06
[10:08:00 PM] [WARN] [TICKER] TPS: 19.23076923076923 | DELTA: 0.052
[10:08:00 PM] [WARN] [TICKER] TPS: 14.705882352941176 | DELTA: 0.068
[10:08:01 PM] [WARN] [TICKER] TPS: 14.492753623188404 | DELTA: 0.069
[10:08:01 PM] [WARN] [TICKER] TPS: 18.51851851851852 | DELTA: 0.054
[10:08:02 PM] [WARN] [TICKER] TPS: 14.285714285714285 | DELTA: 0.07
[10:08:02 PM] [WARN] [TICKER] TPS: 18.867924528301888 | DELTA: 0.053
[10:08:02 PM] [WARN] [TICKER] TPS: 16.129032258064516 | DELTA: 0.062
[10:08:03 PM] [WARN] [TICKER] TPS: 19.607843137254903 | DELTA: 0.051
[10:08:04 PM] [WARN] [TICKER] TPS: 17.857142857142858 | DELTA: 0.056
[10:08:04 PM] [WARN] [TICKER] TPS: 15.873015873015873 | DELTA: 0.063
[10:08:05 PM] [WARN] [TICKER] TPS: 17.543859649122805 | DELTA: 0.057
[10:08:05 PM] [WARN] [TICKER] TPS: 12.345679012345679 | DELTA: 0.081
[10:08:05 PM] [WARN] [TICKER] TPS: 9.174311926605505 | DELTA: 0.109
[10:08:06 PM] [WARN] [TICKER] TPS: 4.761904761904762 | DELTA: 0.21
[10:08:06 PM] [WARN] [TICKER] TPS: 10 | DELTA: 0.1
[10:08:06 PM] [WARN] [TICKER] TPS: 16.129032258064516 | DELTA: 0.062
[10:08:06 PM] [WARN] [TICKER] TPS: 3.571428571428571 | DELTA: 0.28
[10:08:06 PM] [WARN] [TICKER] TPS: 11.11111111111111 | DELTA: 0.09
[10:08:06 PM] [WARN] [TICKER] TPS: 10.869565217391305 | DELTA: 0.092
[10:08:07 PM] [WARN] [TICKER] TPS: 7.936507936507937 | DELTA: 0.126
[10:08:07 PM] [WARN] [TICKER] TPS: 17.241379310344826 | DELTA: 0.058
[10:08:07 PM] [WARN] [TICKER] TPS: 12.5 | DELTA: 0.08
[10:08:07 PM] [WARN] [TICKER] TPS: 11.76470588235294 | DELTA: 0.085
[10:08:07 PM] [WARN] [TICKER] TPS: 7.518796992481203 | DELTA: 0.133
[10:08:07 PM] [WARN] [TICKER] TPS: 16.129032258064516 | DELTA: 0.062
[10:08:07 PM] [WARN] [TICKER] TPS: 7.246376811594202 | DELTA: 0.138
[10:08:08 PM] [WARN] [TICKER] TPS: 8.928571428571429 | DELTA: 0.112
[10:08:08 PM] [WARN] [TICKER] TPS: 18.867924528301888 | DELTA: 0.053
[10:08:08 PM] [WARN] [TICKER] TPS: 8.474576271186441 | DELTA: 0.118
[10:08:08 PM] [WARN] [TICKER] TPS: 11.904761904761903 | DELTA: 0.084
[10:08:08 PM] [WARN] [TICKER] TPS: 15.384615384615383 | DELTA: 0.065
[10:08:08 PM] [WARN] [TICKER] TPS: 10.75268817204301 | DELTA: 0.093
[10:08:09 PM] [WARN] [TICKER] TPS: 4.484304932735426 | DELTA: 0.223
[10:08:09 PM] [WARN] [TICKER] TPS: 9.090909090909092 | DELTA: 0.11
[10:08:09 PM] [WARN] [TICKER] TPS: 11.904761904761903 | DELTA: 0.084
[10:08:09 PM] [WARN] [TICKER] TPS: 18.51851851851852 | DELTA: 0.054
